Algo | CS_ID | Year | Adds | Rems | Time_ms | Mem_Tree_MB | Mem_Delta_MB | DeltaData_MB
MVQ | 56342967 | 2018 | 0 | 0 | 0.000953674 | 48.0381 | 0.0 | 0
MVQ | 56342989 | 2018 | 0 | 0 | 0 | 48.0381 | 0.0 | 0
MVQ | 56343083 | 2018 | 0 | 0 | 0.000953674 | 48.0381 | 0.0 | 0
MVQ | 56343159 | 2018 | 0 | 0 | 0 | 48.0382 | 0.0 | 0
MVQ | 56343187 | 2018 | 0 | 0 | 0.000953674 | 48.0382 | 0.0 | 0
MVQ | 56345629 | 2018 | 0 | 0 | 0 | 48.0383 | 0.0 | 0
MVQ | 56363971 | 2018 | 0 | 0 | 0 | 48.0383 | 0.0 | 0
MVQ | 56376802 | 2018 | 0 | 0 | 0.000953674 | 48.0384 | 0.0 | 0
MVQ | 56380517 | 2018 | 0 | 0 | 0 | 48.0384 | 0.0 | 0
MVQ | 56393294 | 2018 | 0 | 0 | 0 | 48.0385 | 0.0 | 0
MVQ | 56410183 | 2018 | 0 | 0 | 0.000953674 | 48.0385 | 0.0 | 0
MVQ | 56410583 | 2018 | 0 | 0 | 0 | 48.0386 | 0.0 | 0
MVQ | 56412555 | 2018 | 0 | 2 | 0.00596046 | 48.0403 | 0.0 | 6.10352e-05
MVQ | 56413649 | 2018 | 0 | 0 | 0 | 48.0404 | 0.0 | 0
MVQ | 56427805 | 2018 | 0 | 0 | 0 | 48.0404 | 0.0 | 0
MVQ | 56441576 | 2018 | 0 | 0 | 0.00190735 | 48.0405 | 0.0 | 0
MVQ | 56444040 | 2018 | 0 | 0 | 0 | 48.0405 | 0.0 | 0
MVQ | 56445804 | 2018 | 0 | 0 | 0.000953674 | 48.0405 | 0.0 | 0
MVQ | 56449077 | 2018 | 0 | 0 | 0 | 48.0406 | 0.0 | 0
MVQ | 56461698 | 2018 | 0 | 0 | 0 | 48.0406 | 0.0 | 0
MVQ | 56466355 | 2018 | 0 | 0 | 0.000953674 | 48.0407 | 0.0 | 0
MVQ | 56484667 | 2018 | 0 | 0 | 0 | 48.0407 | 0.0 | 0
MVQ | 56491835 | 2018 | 0 | 0 | 0.000953674 | 48.0408 | 0.0 | 0
MVQ | 56504489 | 2018 | 0 | 0 | 0.000953674 | 48.0408 | 0.0 | 0
MVQ | 56505075 | 2018 | 0 | 0 | 0.000953674 | 48.0409 | 0.0 | 0
MVQ | 56513913 | 2018 | 0 | 0 | 0.00286102 | 48.0409 | 0.0 | 0
MVQ | 56518641 | 2018 | 0 | 0 | 0 | 48.041 | 0.0 | 0
MVQ | 56519380 | 2018 | 0 | 0 | 0.000953674 | 48.041 | 0.0 | 0
